# time,theta_1,theta_2,omega_1,omega_2
0.000000000000000000e+00,7.500000000000000000e+01,5.000000000000000000e+01,-1.199999999999999858e+02,2.000000000000000000e+01
4.004004004004003969e-02,6.992915720301168392e+01,5.085283893808838940e+01,-1.332567579495050154e+02,2.260115243533283902e+01
8.008008008008007939e-02,6.433495690969711234e+01,5.180735851707184025e+01,-1.460412875229924907e+02,2.500421439418407843e+01
1.201201201201201191e-01,5.824362660640679934e+01,5.285225647921310355e+01,-1.576685603244611116e+02,2.670100770932566192e+01
1.601601601601601588e-01,5.173121861973419300e+01,5.393662322399323017e+01,-1.672656345414428358e+02,2.705061159850600561e+01
2.002002002002001846e-01,4.489666704727930124e+01,5.499058710756528967e+01,-1.741887825537577896e+02,2.557524309752755798e+01
2.402402402402402382e-01,3.784208573939208975e+01,5.594288910664948133e+01,-1.781708585807858185e+02,2.206105639104745109e+01
2.802802802802802917e-01,3.067276829917239667e+01,5.672088281853311997e+01,-1.793212986814661747e+02,1.655814281257749343e+01
3.203203203203203175e-01,2.349718808247002855e+01,5.725053446107068567e+01,-1.781261207542978013e+02,9.380530844484221475e+00
3.603603603603603434e-01,1.641496522948598624e+01,5.746263179888617856e+01,-1.753587053915053389e+02,1.070522588278153941e+00
4.004004004004003692e-01,9.467612376909235294e+00,5.732551267348802071e+01,-1.714663287182688407e+02,-7.917329116808209832e+00
4.404404404404404505e-01,2.691918647466288839e+00,5.682247573427320475e+01,-1.666840763675267851e+02,-1.725070647243269661e+01
4.804804804804804763e-01,-3.876747749040401203e+00,5.594516941268491195e+01,-1.611511136244182296e+02,-2.664662918410261838e+01
5.205205205205205576e-01,-1.020587722186206214e+01,5.469412736104326456e+01,-1.549053966254529371e+02,-3.587203140864229312e+01
5.605605605605605835e-01,-1.626581879930348151e+01,5.307876845254526188e+01,-1.478836723585114896e+02,-4.474376175419295265e+01
6.006006006006006093e-01,-2.202946899409468884e+01,5.111700880053079743e+01,-1.399285003208183298e+02,-5.312715994108202722e+01
6.406406406406406351e-01,-2.746065616780154173e+01,4.883000210559782772e+01,-1.309574737362950430e+02,-6.090711426309065502e+01
6.806806806806806609e-01,-3.251216839019300409e+01,4.624635039208900622e+01,-1.209516517204920092e+02,-6.800116325942248352e+01
7.207207207207206867e-01,-3.713905557988088191e+01,4.339563220205452865e+01,-1.099004750726962385e+02,-7.436522167628191937e+01
7.607607607607607125e-01,-4.129922534968702763e+01,4.030621031200323756e+01,-9.781886942109068173e+01,-7.998901750088700169e+01
8.008008008008007383e-01,-4.495344300664339698e+01,3.700523173290255130e+01,-8.474724522275427319e+01,-8.489609196146949444e+01
8.408408408408408752e-01,-4.806533155199194596e+01,3.351862771017849241e+01,-7.075149776366181698e+01,-8.914379952727487932e+01
8.808808808808809010e-01,-5.060137168118474449e+01,2.987111372371572671e+01,-5.592300715868428540e+01,-9.282330790856227054e+01
