# time, pos_1, pos_2, vel_1, vel_2
0.000000000000000000e+00,2.000000000000000000e+00,1.300000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00
4.016064257028112428e-02,2.007911162723182041e+00,1.299208883727681751e+01,3.939759036144578896e-01,-3.939759036144578896e-01
8.032128514056224855e-02,2.031644650892727721e+00,1.296835534910727183e+01,7.879518072289157793e-01,-7.879518072289157793e-01
1.204819277108433728e-01,2.071200464508637040e+00,1.292879953549136296e+01,1.181927710843373669e+00,-1.181927710843373669e+00
1.606425702811244971e-01,2.126578603570909998e+00,1.287342139642908911e+01,1.575903614457831559e+00,-1.575903614457831559e+00
2.008032128514056214e-01,2.197779068079547038e+00,1.280222093192045207e+01,1.969879518072289226e+00,-1.969879518072289226e+00
2.409638554216867457e-01,2.284801858034547717e+00,1.271519814196545184e+01,2.363855421686747338e+00,-2.363855421686747338e+00
2.811244979919678699e-01,2.387646973435912479e+00,1.261235302656408841e+01,2.757831325301205005e+00,-2.757831325301205005e+00
3.212851405622489942e-01,2.506314414283640879e+00,1.249368558571636001e+01,3.151807228915663117e+00,-3.151807228915663117e+00
3.614457831325301185e-01,2.640804180577732474e+00,1.235919581942226664e+01,3.545783132530120341e+00,-3.545783132530120341e+00
4.016064257028112428e-01,2.791116272318188596e+00,1.220888372768181185e+01,3.939759036144578452e+00,-3.939759036144578452e+00
4.417670682730923670e-01,2.957250689505007912e+00,1.204274931049499209e+01,4.333734939759036564e+00,-4.333734939759036564e+00
4.819277108433734913e-01,3.139207432138191756e+00,1.186079256786180913e+01,4.727710843373494676e+00,-4.727710843373494676e+00
5.220883534136546711e-01,3.336986500217738794e+00,1.166301349978226121e+01,5.121686746987952787e+00,-5.121686746987952787e+00
5.622489959839357399e-01,3.550587893743649026e+00,1.144941210625635009e+01,5.515662650602410011e+00,-5.515662650602410011e+00
6.024096385542168086e-01,3.780011612715923786e+00,1.121998838728407577e+01,5.909638554216867234e+00,-5.909638554216867234e+00
6.425702811244979884e-01,4.025257657134562628e+00,1.097474234286543648e+01,6.303614457831326234e+00,-6.303614457831326234e+00
6.827309236947791682e-01,4.286326026999565109e+00,1.071367397300043578e+01,6.697590361445784346e+00,-6.697590361445784346e+00
7.228915662650602370e-01,4.563216722310930784e+00,1.043678327768907010e+01,7.091566265060240681e+00,-7.091566265060240681e+00
7.630522088353413057e-01,4.855929743068659654e+00,1.014407025693133946e+01,7.485542168674699681e+00,-7.485542168674699681e+00
8.032128514056224855e-01,5.164465089272754383e+00,9.835534910727245617e+00,7.879518072289156905e+00,-7.879518072289156905e+00
8.433734939759036653e-01,5.488822760923211419e+00,9.511177239076788581e+00,8.273493975903615905e+00,-8.273493975903615905e+00
8.835341365461847341e-01,5.829002758020032537e+00,9.170997241979968351e+00,8.667469879518073128e+00,-8.667469879518073128e+00
9.236947791164658028e-01,6.185005080563216850e+00,8.814994919436783150e+00,9.061445783132530352e+00,-9.061445783132530352e+00
9.638554216867469826e-01,6.556829728552766134e+00,8.443170271447232977e+00,9.455421686746989351e+00,-9.455421686746989351e+00
1.004016064257028162e+00,6.944476701988678613e+00,8.055523298011321387e+00,9.849397590361446575e+00,-9.849397590361446575e+00
1.044176706827309342e+00,7.347946000870954286e+00,7.652053999129044826e+00,1.024337349397590557e+01,-1.024337349397590557e+01
1.084337349397590300e+00,7.767237625199594042e+00,7.232762374800405070e+00,1.063734939759036280e+01,-1.063734939759036280e+01
1.124497991967871480e+00,8.202351574974596105e+00,6.797648425025403895e+00,1.103132530120482002e+01,-1.103132530120482002e+01
1.164658634538152659e+00,8.653287850195965802e+00,6.346712149804034198e+00,1.142530120481927902e+01,-1.142530120481927902e+01
1.204819277108433617e+00,9.120046450863695142e+00,5.879953549136304858e+00,1.181927710843373447e+01,-1.181927710843373447e+01
1.244979919678714797e+00,9.602627376977789453e+00,5.397372623022210547e+00,1.221325301204819169e+01,-1.221325301204819169e+01
1.285140562248995977e+00,1.010103062853825051e+01,4.898969371461749489e+00,1.260722891566265247e+01,-1.260722891566265247e+01
1.325301204819277157e+00,1.061525620554507299e+01,4.384743794454927013e+00,1.300120481927710969e+01,-1.300120481927710969e+01
1.365461847389558336e+00,1.114530410799826043e+01,3.854695892001739566e+00,1.339518072289156869e+01,-1.339518072289156869e+01
1.405622489959839294e+00,1.169117433589780752e+01,3.308825664102192476e+00,1.378915662650602414e+01,-1.378915662650602414e+01
1.445783132530120474e+00,1.225286688924372314e+01,2.747133110756276864e+00,1.418313253012048136e+01,-1.418313253012048136e+01
1.485943775100401654e+00,1.283038176803600017e+01,2.169618231963999833e+00,1.457710843373494214e+01,-1.457710843373494214e+01
1.526104417670682611e+00,1.342371897227463862e+01,1.576281027725361383e+00,1.497108433734939936e+01,-1.497108433734939936e+01
1.566265060240963791e+00,1.403287850195964737e+01,9.671214980403526340e-01,1.536506024096385659e+01,-1.536506024096385659e+01
1.606425702811244971e+00,1.465786035709101753e+01,3.421396429089824665e-01,1.575903614457831381e+01,-1.575903614457831381e+01
