# time,theta,x,omega,v
0.000000000000000000e+00,5.999999999999999289e+01,4.000000000000000000e+00,-2.999999999999999645e+01,0.000000000000000000e+00
4.004004004004003969e-02,5.875603176622049517e+01,4.004450116725208453e+00,-3.212058916360567196e+01,2.259359526375121774e-01
8.008008008008007939e-02,5.742901103131208629e+01,4.018354914657631838e+00,-3.413929873581306396e+01,4.739430916438205910e-01
1.201201201201201191e-01,5.602357867896002830e+01,4.042635483783096007e+00,-3.603490095280633199e+01,7.444350227172226164e-01
1.601601601601601588e-01,5.454521925569866880e+01,4.078227385493601531e+00,-3.778623281050229110e+01,1.037490429867898634e+00
2.002002002002001846e-01,5.300005791590341175e+01,4.126030702072783107e+00,-3.937425359176639716e+01,1.352844661802107940e+00
2.402402402402402382e-01,5.139486042179066061e+01,4.186910036695907777e+00,-4.078204486641276105e+01,1.689889731922191496e+00
2.802802802802802917e-01,4.973703314341785386e+01,4.261694513429871378e+00,-4.199481049120415577e+01,2.047674318326567988e+00
3.203203203203203175e-01,4.803462305868344373e+01,4.351177777233203869e+00,-4.299987660985197380e+01,2.424903763809737711e+00
3.603603603603603434e-01,4.629631305723192014e+01,4.456117417820130377e+00,-4.378663743405951436e+01,2.819941223024021060e+00
4.004004004004003692e-01,4.453030996212973491e+01,4.577077558029915672e+00,-4.433603413475697863e+01,3.231027329772034662e+00
4.404404404404404505e-01,4.274587687695737515e+01,4.714599820727700674e+00,-4.464897064557872142e+01,3.655809941287775811e+00
4.804804804804804763e-01,4.095279278760526154e+01,4.869252933080706391e+00,-4.474153518681740849e+01,4.091676415031016312e+00
5.205205205205205576e-01,3.916009753694280704e+01,5.041502444363016089e+00,-4.462971591029960905e+01,4.536107764902976847e+00
5.605605605605605835e-01,3.737609182481843817e+01,5.231710725955577068e+00,-4.432940089938585260e+01,4.986678661246320310e+00
6.006006006006006093e-01,3.560833720805957370e+01,5.440136971346198891e+00,-4.385637816897055785e+01,5.441057430845157583e+00
6.406406406406406351e-01,3.386365610047262464e+01,5.666937196129552490e+00,-4.322633566548209672e+01,5.897006056925042650e+00
6.806806806806806609e-01,3.214813177284300849e+01,5.912164238007173722e+00,-4.245486126688273743e+01,6.352380179152975259e+00
7.207207207207206867e-01,3.046710835293513142e+01,6.175767756787461593e+00,-4.155744278266869429e+01,6.805129093637402704e+00
7.607607607607607125e-01,2.882519082549243450e+01,6.457594234385673815e+00,-4.054946795387009217e+01,7.253295752928211826e+00
8.008008008008007383e-01,2.722624503223730841e+01,6.757386974823936576e+00,-3.944622445305098779e+01,7.695016766016742338e+00
8.408408408408408752e-01,2.567339767187118227e+01,7.074786104231235662e+00,-3.826289988430936972e+01,8.128522398335773502e+00
8.808808808808809010e-01,2.416903630007447745e+01,7.409328570843417339e+00,-3.701458178327712290e+01,8.552136571759531236e+00
9.209209209209209268e-01,2.271480932950659337e+01,7.760448145003197240e+00,-3.571625761712009250e+01,8.964276864603686334e+00
9.609609609609609526e-01,2.131186275443273814e+01,8.127528502440021896e+00,-3.438396775969133756e+01,9.363549116865300448e+00
1.001001001001001089e+00,1.996300021418303317e+01,8.510469201194663214e+00,-3.304466842540011129e+01,9.749779901102989754e+00
1.041041041041041115e+00,1.866818206127693713e+01,8.908747376234472881e+00,-3.171177314447373874e+01,1.012229724274301468e+01
1.081081081081081141e+00,1.742639255842970414e+01,9.321669534021392423e+00,-3.039343509023145984e+01,1.048025635835147895e+01
1.121121121121121167e+00,1.623653282881692661e+01,9.748551554854275381e+00,-2.909690836524639934e+01,1.082294935595760776e+01
1.161161161161161193e+00,1.509742085607455842e+01,1.018871869286888199e+01,-2.782854800134563078e+01,1.114980523505375665e+01
1.201201201201201219e+00,1.400779148429890419e+01,1.064150557603788272e+01,-2.659380995961013738e+01,1.146038988659540259e+01
1.241241241241241244e+00,1.296629641804660871e+01,1.110625620617086184e+01,-2.539725113037483695e+01,1.175440609300114581e+01
1.281281281281281270e+00,1.197150422233467637e+01,1.158232395891431565e+01,-2.424252933322856762e+01,1.203169352815271509e+01
1.321321321321321296e+00,1.102190032264046593e+01,1.206907158375164713e+01,-2.313240331701408792e+01,1.229222875739496246e+01
1.361361361361361322e+00,1.011588700490167092e+01,1.256587120400316593e+01,-2.206873275982809091e+01,1.253612523753586316e+01
1.401401401401401348e+00,9.251783415516351639e+00,1.307210431682610619e+01,-2.105247826902118291e+01,1.276363331684651925e+01
1.441441441441441373e+00,8.427825561342910277e+00,1.358716179321459805e+01,-2.008370138119790482e+01,1.297514023506115421e+01
1.481481481481481399e+00,7.642166309700100690e+00,1.411044387799968902e+01,-1.916156456221670723e+01,1.317117012337712367e+01
1.521521521521521425e+00,6.892875388367028400e+00,1.464136018984933862e+01,-1.828433120718998239e+01,1.335238400445489582e+01
1.561561561561561451e+00,6.177939385583150589e+00,1.517932972126841662e+01,-1.744936564048403937e+01,1.351957979241807628e+01
1.601601601601601477e+00,5.495371705736254775e+00,1.572377882105160829e+01,-1.665381561316263870e+01,1.367325681676583038e+01
1.641641641641641725e+00,4.843790202289324220e+00,1.627411045965177294e+01,-1.589775534904389964e+01,1.381197715892798428e+01
1.681681681681681750e+00,4.221719246505565515e+00,1.682970899735924419e+01,-1.517971537209286659e+01,1.393561930737449650e+01
1.721721721721721776e+00,3.627691651311325760e+00,1.738996471919035969e+01,-1.449792621912274093e+01,1.404430911854467112e+01
1.761761761761761802e+00,3.060299166045284291e+00,1.795427454134305734e+01,-1.385066889247619670e+01,1.413817413526330746e+01
1.801801801801801828e+00,2.518192476458439355e+00,1.852204201119686289e+01,-1.323627486002538944e+01,1.421734358674069654e+01
1.841841841841841854e+00,2.000081204714115657e+00,1.909267730731290413e+01,-1.265312605517194200e+01,1.428194838857261928e+01
1.881881881881881879e+00,1.504733909387959923e+00,1.966559723943391447e+01,-1.209965487684695695e+01,1.433212114274035542e+01
1.921921921921921905e+00,1.030978085467943117e+00,2.024022524848421511e+01,-1.157434418951100952e+01,1.436799613761067285e+01
1.961961961961961931e+00,5.777001643543587805e-01,2.081599140656972580e+01,-1.107572732315414932e+01,1.438970934793583467e+01
2.002002002002002179e+00,1.438455138598233318e-01,2.139233241697797183e+01,-1.060238807329590038e+01,1.439739843485359749e+01
2.042042042042042205e+00,-2.715815617907176849e-01,2.196869161417806282e+01,-1.015296070098526293e+01,1.439120274588720960e+01
2.082082082082082231e+00,-6.695178219600032010e-01,2.254451896382071752e+01,-9.726129932800713362e+00,1.437126331494541098e+01
2.122122122122122256e+00,-1.050841089598443689e+00,2.311927106273824606e+01,-9.320630960850200708e+00,1.433772286232243687e+01
2.162162162162162282e+00,-1.416370251244127410e+00,2.369241113894456774e+01,-8.935249442771146633e+00,1.429072579469801418e+01
2.202202202202202308e+00,-1.766865257022820046e+00,2.426340905163517903e+01,-8.568821501730448986e+00,1.423041820513736511e+01
2.242242242242242334e+00,-2.103027120647958714e+00,2.483174129118719264e+01,-8.220233726424481802e+00,1.415694787309119995e+01
2.282282282282282360e+00,-2.425502453242383005e+00,2.539689396344498107e+01,-7.888419056264638130e+00,1.407046620952063165e+01
2.322322322322322385e+00,-2.735011312139513873e+00,2.595843163616959615e+01,-7.572291142165917144e+00,1.397117972764313620e+01
2.362362362362362411e+00,-3.032174960999348023e+00,2.651585000779829926e+01,-7.270988143735505282e+00,1.385926570041258188e+01
2.402402402402402437e+00,-3.317534977593856294e+00,2.706861107998901517e+01,-6.983748882878543895e+00,1.373488145207296363e+01
2.442442442442442463e+00,-3.591613474440840559e+00,2.761618809148360754e+01,-6.709837700395266502e+00,1.359819099278544030e+01
2.482482482482482489e+00,-3.854913098803936400e+00,2.815806551810788605e+01,-6.448544455981000567e+00,1.344936501862832223e+01
2.522522522522522515e+00,-4.107917032692614434e+00,2.869373907277160640e+01,-6.199184528226170166e+00,1.328858091159708010e+01
2.562562562562562540e+00,-4.351088992862177207e+00,2.922271570546845254e+01,-5.961098814616289765e+00,1.311602273960434140e+01
2.602602602602602566e+00,-4.584873230813760969e+00,2.974451360327606864e+01,-5.733653731531969555e+00,1.293188125647988507e+01
2.642642642642642592e+00,-4.809694532794335231e+00,3.025866219035603066e+01,-5.516241214248911895e+00,1.273635390197065753e+01
2.682682682682682618e+00,-5.025958219796704540e+00,3.076470212795385351e+01,-5.308278716937914865e+00,1.252964480174075135e+01
2.722722722722722644e+00,-5.234050147559505817e+00,3.126218531439900516e+01,-5.109209212664868716e+00,1.231196476737142120e+01
2.762762762762762669e+00,-5.434336706567209241e+00,3.175067488510489255e+01,-4.918501193390758530e+00,1.208353129636108036e+01
2.802802802802802695e+00,-5.627164822050118254e+00,3.222974521256885794e+01,-4.735648669971662450e+00,1.184456857212529357e+01
2.842842842842842721e+00,-5.812861953984368668e+00,3.269898190637219670e+01,-4.560171172158752562e+00,1.159530746399679124e+01
2.882882882882882747e+00,-5.991736097091934887e+00,3.315798181318012894e+01,-4.391613748598295786e+00,1.133598552722544817e+01
2.922922922922922773e+00,-6.164075780840618357e+00,3.360635301674184916e+01,-4.229546966831650323e+00,1.106684700297831014e+01
2.962962962962962798e+00,-6.330150069444057337e+00,3.404371483789046238e+01,-4.073566913295269210e+00,1.078814281833956734e+01
3.003003003003002824e+00,-6.490208561861722458e+00,3.446969783454301961e+01,-3.923295193320702534e+00,1.050013058631057561e+01
3.043043043043042850e+00,-6.644481391798921166e+00,3.488394380170053921e+01,-3.778378931134588115e+00,1.020307460580984404e+01
3.083083083083082876e+00,-6.793179227706786172e+00,3.528610577144795712e+01,-3.638490769858664819e+00,9.897245861673038547e+00
3.123123123123122902e+00,-6.936493272782295882e+00,3.567584801295416241e+01,-3.503328871509756137e+00,9.582922024652983595e+00
3.163163163163162928e+00,-7.074595264968249531e+00,3.605284603247197595e+01,-3.372616916999787939e+00,9.260387451419660465e+00
3.203203203203202953e+00,-7.207637476953288491e+00,3.641678657333817881e+01,-3.246104106135773826e+00,8.929933184560205461e+00
3.243243243243243423e+00,-7.335752716171883847e+00,3.676736761597348391e+01,-3.123565157619825339e+00,8.591856952578911688e+00
3.283283283283283449e+00,-7.459054324804341718e+00,3.710429837788254304e+01,-3.004800309049146634e+00,8.246463169897236156e+00
