# time,x1,x2,y1,y2,z1,z2,vx1,vx2,vy1,vy2,vz1,vz2
0.000000000000000000e+00,-5.000000000000000000e-01,5.000000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.000000000000000278e-02,5.000000000000000278e-02,0.000000000000000000e+00,0.000000000000000000e+00,-5.000000000000000000e-01
2.000200020002000211e-03,-4.998981893968901247e-01,4.998977892630879216e-01,1.000099409639667355e-04,7.337749628474146633e-11,-6.003613332387953030e-10,-1.000099276226037439e-03,5.180054405634471754e-02,-5.220066495775465415e-02,4.999990994556318541e-02,1.100665338856133414e-07,-9.005443681550179401e-07,-4.999988993346611288e-01
4.000400040004000422e-03,-4.997927766054640064e-01,4.997911758515671266e-01,2.000195215627655618e-04,5.872013091537972761e-10,-4.804374347621980402e-09,-2.000194147988909165e-03,5.360183207178124271e-02,-5.440223919884373815e-02,4.999963963312821502e-02,4.404483988486780065e-07,-3.603668717852826474e-06,-4.999955955160115262e-01
6.000600060006000200e-03,-4.996837601113247596e-01,4.996801579145080940e-01,3.000283807287347612e-04,1.982776357566648846e-09,-1.622271565281800443e-08,-3.000280202239424560e-03,5.540388795722341053e-02,-5.660475194771750346e-02,4.999918883010696230e-02,9.914298692727566584e-07,-8.111698930413461259e-06,-4.999900857013072630e-01
8.000800080008000845e-03,-4.995711383472924427e-01,4.995647335364686303e-01,4.000361564014720582e-04,4.702620912021730086e-09,-3.847598928017760076e-08,-4.000353013794880064e-03,5.720673578217980171e-02,-5.880823262266419993e-02,4.999855729099252771e-02,1.763311009141921362e-06,-1.442709007479754134e-05,-4.999823668899085471e-01
1.000100010001000149e-02,-4.994549097105522861e-01,4.994449007584529365e-01,5.000424874923377512e-04,9.188065531903964461e-09,-7.517508162466836158e-08,-5.000408169349681436e-03,5.901039944315462221e-02,-6.101271043052231696e-02,4.999774476611241331e-02,2.756396973720706788e-06,-2.255233887589669421e-05,-4.999724360302627568e-01
1.200120012001200040e-02,-4.993350725502617160e-01,4.993206575627643917e-01,6.000470123550257851e-04,1.588112236865445494e-08,-1.299364557435356747e-07,-6.000441248782313781e-03,6.081490288940332584e-02,-6.321821464260406198e-02,4.999675099559111602e-02,3.971005388639127261e-06,-3.249004408886561055e-05,-4.999602899461135785e-01
1.400140014001400104e-02,-4.992116251661706250e-01,4.991920018713197904e-01,7.000493686213578358e-04,2.522468586295340934e-08,-2.063837934241630713e-07,-7.000447823148370566e-03,6.262027014886586973e-02,-6.542477462639162411e-02,4.999557570866192124e-02,5.407467190990165519e-06,-4.424291338082867456e-05,-4.999459253280900684e-01
1.600160016001600169e-02,-4.990845658086217052e-01,4.990589315456489539e-01,8.000491932012818467e-04,3.766253274472011635e-08,-3.081479951840720080e-07,-8.000423454680553187e-03,6.442652532816672828e-02,-6.763241984553711172e-02,4.999421862366691671e-02,7.066126629329763398e-06,-5.781376333087992670e-05,-4.999293387337067074e-01
1.800180018001800233e-02,-4.989538926785503925e-01,4.989214443868950632e-01,9.000461222828731126e-04,5.363932203311294468e-08,-4.388671802709219524e-07,-9.000363696788667503e-03,6.623369261261484453e-02,-6.984117985986260102e-02,4.999267944805699943e-02,8.947341263676815055e-06,-7.320551943008310773e-05,-4.999105265873632353e-01
2.000200020002000298e-02,-4.988196039274845894e-01,4.987795381358146596e-01,1.000039791332334171e-03,7.360059503652940596e-08,-6.021866866625106480e-07,-1.000026409405963511e-02,6.804179626620371346e-02,-7.205108432536010132e-02,4.999095787839185484e-02,1.105148196551319407e-05,-9.042121608147166546e-05,-4.998894851803448725e-01
2.200220022002200362e-02,-4.986816976575449423e-01,4.986332104727774217e-01,1.100029835093993720e-03,9.799277535260606537e-08,-8.017590710667739026e-07,-1.100012018225747339e-02,6.985086063161133341e-02,-7.426216299419161060e-02,4.998905360033999851e-02,1.337893291778371618e-05,-1.094639966000486803e-04,-4.998662106708221531e-01
2.400240024002400080e-02,-4.985401719214448968e-01,4.984824590177662218e-01,1.200015887590308132e-03,1.272631688682185317e-07,-1.041244108921783814e-06,-1.199992748832331632e-02,7.166091013020013667e-02,-7.647444571468904606e-02,4.998696628867872749e-02,1.593009161489616216e-05,-1.303371132127868922e-04,-4.998406990838510366e-01
2.600260026002600144e-02,-4.983950247224903651e-01,4.983272813303774029e-01,1.299997582121860916e-03,1.618599637594816296e-07,-1.324308794395754225e-06,-1.299968153037540410e-02,7.347196926201714218e-02,-7.868796243135428581e-02,4.998469560729414118e-02,1.870536886272129642e-05,-1.530439270586288702e-04,-4.998129463113727966e-01
2.800280028002800209e-02,-4.982462540145800589e-01,4.981676749098203905e-01,1.399974551267361847e-03,2.022322304917491543e-07,-1.654627340387032938e-06,-1.399937781770907962e-02,7.528406260579384446e-02,-8.090274318485914107e-02,4.998224120918115521e-02,2.170518877859280437e-05,-1.775879081884867278e-04,-4.997829481122140760e-01
3.000300030003000273e-02,-4.980938577022052671e-01,4.980036371949178586e-01,1.499946426883648270e-03,2.488299218196140838e-07,-2.035881178524110081e-06,-1.499901185079680413e-02,7.709721481894622752e-02,-8.311881811204539783e-02,4.997960273644348056e-02,2.492998879130736863e-05,-2.039726355652422721e-04,-4.997507001120868875e-01
3.200320032003200338e-02,-4.979378336404500227e-01,4.978351655641058970e-01,1.599912840105684230e-03,3.021038727869084331e-07,-2.471758959165608158e-06,-1.599857912128813120e-02,7.891145063757482037e-02,-8.533621744592478908e-02,4.997677982029363059e-02,2.838021964112462668e-05,-2.322017970637471390e-04,-4.997161978035887242e-01
3.400340034003400402e-02,-4.977781796349909360e-01,4.976622573354337331e-01,1.699873421346561123e-03,3.625058007267034925e-07,-2.965956551400294748e-06,-1.699807511200973273e-02,8.072679487646459984e-02,-8.755497151567896708e-02,4.997377208105292096e-02,3.205634537976716409e-05,-2.622791894708224685e-04,-4.996794365462023380e-01
