# time, position, velocity
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.016064257028112428e-02,9.991936697788813548e-01,-4.014984774331989414e-02
8.032128514056224855e-02,9.967759794523765038e-01,-8.023494741542229469e-02
1.204819277108433728e-01,9.927508279340363506e-01,-1.201906553617428514e-01
1.606425702811244971e-01,9.871247064264888627e-01,-1.599525365926349474e-01
2.008032128514056214e-01,9.799066879533322449e-01,-1.994564686951285915e-01
2.409638554216867457e-01,9.711084127274295374e-01,-2.386387452406092957e-01
2.811244979919678699e-01,9.607440693791974295e-01,-2.774361785216553078e-01
3.212851405622489942e-01,9.488303720751635195e-01,-3.157862014523539762e-01
3.614457831325301185e-01,9.353865335636907252e-01,-3.536269684677660896e-01
4.016064257028112428e-01,9.204342341913384073e-01,-3.908974552598218910e-01
4.417670682730923670e-01,9.039975869398246822e-01,-4.275375571888090365e-01
4.819277108433734913e-01,8.861030985399751536e-01,-4.634881862117470330e-01
5.220883534136546711e-01,8.667796267253663478e-01,-4.986913661713370249e-01
5.622489959839357399e-01,8.460583336946003730e-01,-5.330903262918171848e-01
6.024096385542168086e-01,8.239726358572599940e-01,-5.666295927309472624e-01
6.425702811244979884e-01,8.005581499445866278e-01,-5.992550780404791722e-01
6.827309236947791682e-01,7.758526355717869638e-01,-6.309141683908453535e-01
7.228915662650602370e-01,7.498959343445951164e-01,-6.615558084194005373e-01
7.630522088353413057e-01,7.227299056082913120e-01,-6.911305835653854812e-01
8.032128514056224855e-01,6.943983589427910053e-01,-7.195907997588342209e-01
8.433734939759036653e-01,6.649469835126692319e-01,-7.468905603349140776e-01
8.835341365461847341e-01,6.344232743860517276e-01,-7.729858400496613102e-01
9.236947791164658028e-01,6.028764559411970980e-01,-7.978345560777508894e-01
9.638554216867469826e-01,5.703574024842898993e-01,-8.213966358778039822e-01
1.004016064257028162e+00,5.369185562064590078e-01,-8.436340818157902488e-01
1.044176706827309342e+00,5.026138426123308856e-01,-8.645110324423089798e-01
1.084337349397590300e+00,4.674985835565010905e-01,-8.839938203249303461e-01
1.124497991967871480e+00,4.316294080281676826e-01,-9.020510263423314745e-01
1.164658634538152659e+00,3.950641608278009365e-01,-9.186535303526708329e-01
1.204819277108433617e+00,3.578618092831217234e-01,-9.337745581544887319e-01
1.244979919678714797e+00,3.200823481548239480e-01,-9.473897246644034098e-01
1.285140562248995977e+00,2.817867028853984768e-01,-9.594770732419697357e-01
1.325301204819277157e+00,2.430366313470812833e-01,-9.700171110982851452e-01
1.365461847389558336e+00,2.038946242473760606e-01,-9.789928407312391556e-01
1.405622489959839294e+00,1.644238043527624649e-01,-9.863897873367123426e-01
1.445783132530120474e+00,1.246878246931067830e-01,-9.921960221515208067e-01
1.485943775100401654e+00,8.475076591093992640e-02,-9.964021816904603535e-01
1.526104417670682611e+00,4.467703292113939934e-02,-9.990014828464287566e-01
1.566265060240963791e+00,4.531251047670200281e-03,-9.999897338292743632e-01
1.606425702811244971e+00,-3.562183819511741817e-02,-9.993653409257301501e-01
1.646586345381526151e+00,-7.571748150856799642e-02,-9.971293110695320649e-01
1.686746987951807331e+00,-1.156910182348038774e-01,-9.932852502175768539e-01
1.726907630522088288e+00,-1.554779846324101100e-01,-9.878393575347380606e-01
1.767068273092369468e+00,-1.950142178345611321e-01,-9.808004153967179173e-01
1.807228915662650648e+00,-2.342359593219364988e-01,-9.721797752270575632e-01
1.847389558232931606e+00,-2.730799577435636394e-01,-9.619913391911454337e-01
1.887550200803212785e+00,-3.114835709197701918e-01,-9.502515377767449811e-01
1.927710843373493965e+00,-3.493848668627475562e-01,-9.369793032971966973e-01
1.967871485943775145e+00,-3.867227236518190892e-01,-9.221960393600260320e-01
2.008032128514056325e+00,-4.234369280023430604e-01,-9.059255863501916028e-01
2.048192771084337505e+00,-4.594682723692951609e-01,-8.881941829836397240e-01
2.088353413654618684e+00,-4.947586504289342435e-01,-8.690304239931647690e-01
2.128514056224899420e+00,-5.292511507845715224e-01,-8.484652140148155608e-01
2.168674698795180600e+00,-5.628901487453302765e-01,-8.265317177492100820e-01
2.208835341365461780e+00,-5.956213960298823995e-01,-8.032653064781360985e-01
2.248995983935742959e+00,-6.273921082505070634e-01,-7.787035010226831533e-01
2.289156626506024139e+00,-6.581510500363842997e-01,-7.528859112348993410e-01
2.329317269076305319e+00,-6.878486176588508583e-01,-7.258541721205492570e-01
2.369477911646586499e+00,-7.164369190253715436e-01,-6.976518766959873830e-01
2.409638554216867234e+00,-7.438698509132212200e-01,-6.683245056874257406e-01
2.449799196787148414e+00,-7.701031733183306693e-01,-6.379193541859639049e-01
2.489959839357429594e+00,-7.950945807993881065e-01,-6.064854553766687584e-01
2.530120481927710774e+00,-8.188037707021532663e-01,-5.740735014646953793e-01
2.570281124497991954e+00,-8.411925081539523008e-01,-5.407357619259732795e-01
2.610441767068273133e+00,-8.622246877235451024e-01,-5.065259992142902012e-01
2.650602409638554313e+00,-8.818663916469258179e-01,-4.714993820607094599e-01
2.690763052208835493e+00,-9.000859445251589985e-01,-4.357123965051400982e-01
2.730923694779116673e+00,-9.168539644060426097e-01,-3.992227548035345297e-01
2.771084337349397408e+00,-9.321434101672201322e-01,-3.620893023576167158e-01
2.811244979919678588e+00,-9.459296251243289877e-01,-3.243719228172290969e-01
2.851405622489959768e+00,-9.581903767938595440e-01,-2.861314415083416884e-01
2.891566265060240948e+00,-9.689058927466021043e-01,-2.474295273424534369e-01
2.931726907630522128e+00,-9.780588924938617978e-01,-2.083285933655785460e-01
